question,answer,source
Where can I find a class schedule?,"Schedule of Classes Current students and prospective students may view a schedule of online , on campus , current , and upcoming classes by going to Student Planning and searching the course catalog. You can also click on the following link to find the most up-to-date class schedule. https://www.troy.edu/academics/academic-resources/schedule-of-classes.html/",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=40957
Does Troy have a required GPA for admission?,"GPA Admission Requirements For information about admission requirements, please visit TROY Admissions.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44528
Where can I find the faculty resources or the student resources?,"Student Resources - Help & Information Canvas : To view Student Resources for help and information, click the Student Resources link found at the top of the Canvas login page or login to Canvas and click the Student Resources link of the left side of the page. Canvas : Several other options for help and information can be found in Canvas by clicking the ""Help"" button on the left side of the screen. Faculty Resources - Help & Information Canvas : To view Faculty Resources for help and information, click the Faculty Resources link found at the top of the Canvas login page. Canvas : Several options for help and information can be found in Canvas by clicking the ""Help"" button on the left side of the screen.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44862
What is Student Planning?,"Student Planning The Student Planning feature allows you, as a student, to view the progress you have made toward earning your degree, set up the path to your degree, register for classes, and much more. To access Student Planning, log in to my.troy.edu , click the Self-Service tile, then click the Student Planning tile. For more information, visit https://www.troy.edu/academics/academic-resources/records-office/student-planning/index.html",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44623
What is NetTutor?,"NetTutor NetTutor is research-based and has a rich history of providing on-line tutoring and academic support to educational institutions in a variety of disciplines and academic programs. NetTutor gives you the assistance you need from experienced and qualified on-line tutors. Students: Links to NetTutor can be found inside your Canvas courses. To access NetTutor, go into your course in Canvas, and click the NetTutor link found on the left side of the page. Click here to access NetTutor",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44406
How do I contact the Admissions Office?,Admissions Office Contact information for TROY Admissions can be found on the Contact TROY web page.,https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44542
Do you need a copy of my AL GI Certificate?,No.  The Department of Veterans Affairs issues and mails a certificate to TROY.,https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=66497
What services do you have for students with disabilities?,"Services for Students with Disabilities The Student Disability Services provides accommodations to students with physical psychological and learning disabilities in accordance with the Americans with Disabilities Act and Section 504. Students must provide recent documentation of their disability from a qualified professional to determine eligibility for the program. The Disability Services Policy is contained in the policy section of this publication. Click here to visit the Student Disability Services web page to view Troy University ADA Policies, ADA Forms, contact information, and much more.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44421
How do I apply as an international student?,"Applying as an International Student To apply as an International student, please visit the Admissions web page, click the “International” link for information, and click the “Apply” link to apply. Note for International Students : Students seeking admission to Troy University on an International student visa can only attend the following campuses: Troy, Dothan, Montgomery, and Phenix City. The programs available on those campuses can be found on the Academic Programs web page.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44491
Where can I get tickets for a sporting event?,"To purchase tickets for TROY sporting events, please visit the Ticket Office web page on the Official Site of Troy University Athletics. Note : All Troy University students attending an Alabama campus with a valid student ID are eligible to attend athletic events at no cost.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44448
What are CLEP examination requirements?,Troy University accepts a variety CLEP examinations. Please go to https://www.troy.edu/academics/academic-resources/records-office/academic-evaluation-center/credit-exam.html for more information.,https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=40746
What are DSST (DANTES SUBJECT STANDARDIZED TEST) scores?,Troy University accepts a variety DSST (Dantes Subject Standardized Test) scores. Please go to https://www.troy.edu/academics/academic-resources/records-office/academic-evaluation-center/credit-exam.html for more information.,https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=40745
Does TROY offer ROTC?,"ROTC Troy University offers ROTC through the Air Force and the Army. For more information about these programs, please visit the TROY for Troops Center .",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44689
What are Advanced Placement (AP) Examinations?,Troy University accepts a variety of Advanced Placement (AP) exams. Please go to https://www.troy.edu/academics/academic-resources/records-office/academic-evaluation-center/credit-exam.html for more information.,https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=40748
What is a student agreement?,The student agreement is essentially a personalized degree map. The student agreement clearly delineates the specific credit awarded for all prior learning (including military training and experience) and remaining credits required for degree completion. The home institution will prepare a student agreement by the end date of a student’s second course through GoArmyEd. More information about the student agreement can be found on the TROY Online Frequently Asked Questions web page in the Military section.,https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44553
Do you have a Human Services program?,"Troy University offers undergraduate, graduate, and doctoral programs in class and online. A complete list of TROY locations as well as the degree programs and majors offered at each location is available on the Academic Programs web page . This list provides further links to each program’s entry in the undergraduate or graduate catalog. College of Health and Human Services - Human Services Web Pages: College of Health and Human Services Academic Catalogs Academic Programs Undergraduate Degree Maps Graduate Degree Plans",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44507&SIDs=2749
How do I establish residency?,"In order to establish residency in the State of Alabama, a student must complete a ""Petition for Residency"" form. This form may be obtained by contacting Admissions . Students petitioning for residency in the State of Alabama must comply with the following requirements, as referenced in the Code of Alabama, Section 16-64-3: Certification of Residency - Evaluation of Connections with State of Alabama (A) An individual claiming to be a resident for purposes of this chapter shall certify by a signed statement each of the following: A specific address or location within the State of Alabama as his or her residence. An intention to remain at this address indefinitely. Possession of more substantial connections with the State of Alabama than with any other state. (B) Though certification of an address and an intent to remain in the state indefinitely shall be prerequisites to establishing status as a resident, ultimate determination of that status shall be made by the institution by evaluating the presence or absence of connections with the State of Alabama. This evaluation shall include the consideration of all of the following connections. Troy University requires submission of an Alabama's Driver's License, or state ID, plus three additional proofs to be selected from the connections listed below. Consideration of the location of high school graduation. Payment of Alabama state income taxes as a resident. Ownership of a residence or other real property in the state and payment of state ad valorem taxes on the residence or property. Full-time employment in the state. Residence in the state of a spouse, parents, or children. Previous periods of residency in the state continuing for one year or more. Voter registration and voting in the state; more significantly, continuing voter registration in the state that initially occurred at least one year prior to the initial registration of the student in Alabama at a public institution of higher education. Possession of state or local licenses to do business or practice a profession in the state. Ownership of personal property in the state, payment of state taxes on the property, and possession of state license plates. Continuous physical presence in the state for a purpose other than attending school, except for temporary absences for travel, military service, and temporary employment. Membership in religious, professional, business, civic, or social organizations in the state. Maintenance in the state of checking and savings accounts, safe deposit boxes, or investment accounts. In-state address shown on selective service registration, driver's license, automobile title registration, hunting or fishing license, insurance policies, stock and bond registrations, last will and testament, annuities, or retirement plans.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44387
What services are offered for international students?,"Services for International Students Many services are offered for International students at Troy University concerning accommodations, campus activities, employment opportunities, health services, citizenship and immigration services, scholarships, and tax services. To contact the Center for International Programs, please visit the Contact Us web page. For more information about services for International students, please visit the Center for International Programs web page.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44867
What is GoArmyEd?,"Lead by example. An educated Soldier is the best asset of the Army. Pursue your educational dreams by using GoArmyEd, the new portal from the Army Continuing Education System (ACES). GoArmyEd is the virtual gateway for you to request Tuition Assistance (TA) online, anytime for both classroom and distance learning college courses. GoArmyEd is a dynamic online portal that automates many of the paper-based processes you historically conducted with your Army Education Counselor. GoArmyEd is your one-stop location for managing your college education and using TA benefits. GoArmyEd gives you access to many regionally accredited colleges and universities and over 1,000 available degree plans. GoArmyEd is used by: • Soldiers to pursue their postsecondary educational goals • Army Education Counselors to provide educational guidance • Schools to deliver degree and course offerings and to report Soldier progress Using the GoArmyEd portal for your educational needs puts you one click closer to obtaining the finest education, anywhere you are, anytime you want it. For more information, please visit the GoArmyEd website, TROY for Troops Center web page, or the TROY Online Military Information web page. To access the portal, please visit the TROY Online Military Information web page.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44469
VA Chapter 33/Post 9-11: Have I been certified?,"If you have submitted the online Request for VA Certification Form and have not received an email notification for your certification, you should contact your School Certifying Official (SCO). If you are unsure of your SCO, please contact 334-670-3701.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=66513
What is Summer Spectacular?,"Summer Spectacular is a summer program for children which is hosted by the Troy University Dothan Campus College of Education each year during the month of June. For more information about Summer Spectacular, please contact the Dothan Campus College of Education at 334-983-6556 ext 368.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44543
Can I audit a class?,"Students may audit any Troy University course by indicating audit at the time of registration. No credit will be given, no hours attempted will be earned, and fees will be assessed based on the audit credit hour rate. Audit hours are not counted in maximum or minimum credit load limits, and no credit will be earned. Students may change from audit to credit or from credit to audit within the designated drop/add period the first week of classes, a period allowing students flexibility to change classes without academic or financial penalty.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44411
Computer Blocked for Unknown-TCP Connections to port 443,"Typically, this is caused by some Internet Security Software.  It has been discovered that Kaspersky has an option called ""Kaspersky Security Networks"" enbedded in later versions that needs to be turned off.  Go to the section that looks like the picture below and disable this feature.  Once completed, you will need to restart the device for the settings to fully implement.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=93688
Where can I download the trial version of Malwarebytes Anti-Malware,Please see Files location at the bottom right of this knowledge base article for Windows 10 trial version and Mac Version.,https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=74667
How to disable the VPN on Kaspersky?,"Kaspersky VPN >  Turning off Kaspersky VPN Turning off Kaspersky VPN To turn off Kaspersky VPN: Tap > About > Legal. Tap Statement Regarding Data Processing for Purpose of Providing VPN Functionality. Text of the selected statement appears. Tap Decline the Statement. On the screen that appears, tap Disable. The Kaspersky VPN feature will stop working on your device. All the feature's settings will be reset. If you ever want to turn the feature back on, that can be done in the Kaspersky VPN section on the main screen of the app.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=158703
SafeConnect Policy Key is not Installed Message,"Problem: Incorrectly Failing for 'Policy Key is not Installed' Solution 1: Is the Policy Key installed correctly? On Windows: Open File Explorer. Navigate to 'C:\Program Files(x86)' Ensure the directory SafeConnect exists. Ensure there is a file in the directory called SCClient.exe. If not, re-install the policy key and restart the device. On Mac: Open Finder and choose Applications. Check if an application exists called SafeConnect. Right click the application and select ""Show Package Contents"". Ensure that under Contents > MacOS, there exists a file called scClient and scManagerD If not, re-install the policy key and restart the device. Solution 2: Is the Policy Key running? On Windows: Open the Task Manager and navigate to the Processes tab. Check the box “Show processes from all users” at the bottom left. Click on the “Name” column heading to sort. Look for SafeConnectClient.exe and scManager.sys, both should be present. On Mac: Open Activity Monitor (Finder > Applications > Utilities > Activity Monitor). Choose “Show All Processes” under the ""View"" menu Click on the “ProcessName” column heading to sort. Look for two services named ""SafeConnect"", one ran by the Admin user and one by the root user. Both should be present. If you have only recently installed the Macintosh Policy Key, both processes may be called SafeConnect. Solution 3: If the Policy Key is running, but still failing incorrectly. Check the device's time and date If the device's time and/or date is incorrect, update the system time and/or date to current and restart the machine. Check Windows Updates If there are any Windows Updates pending, complete those updates and check to see if the Policy Key is working again. Ensure Anti-Virus/Firewall is not impeding Policy Key communication Add an exemption to any Anti-Virus or Firewall for the directory ""Program Files(x86)\SafeConnect"" and/or the file ""ServiceInstaller.exe"" within that directory. Solution 4: If the Policy Key is not running Check Anti-Virus Quarantine section In some cases, an Anti-Virus might quarantine files that are required by the Policy Key. Confirm that within your Anti-Virus program's quarantine section, there are no files/directories that have a name of SafeConnect or SCClient. Ensure the policy key is set for startup PC: Enter ""msconfig"" Click on the ""Startup"" tab Sort by the ""Name"" column and find SafeConnect/SCClient If you cannot find SafeConnect in startup: Navigate to C:\Program Files(x86)\SafeConnect Right click on ""SafeConnectClient.exe"" and select ""Create Shortcut"" Right click on the file and select ""Cut"" or use keyboard shortcut CTRL + X Press Win + R Enter ""shell:startup"" Right click and select ""Paste"" or use keyboard shortcut CTRL + V Restart the device MAC: Open System Preferences and click ""Users & Groups"" Click Login Items Ensure SafeConnect/SCClient exists there If you cannot find SafeConnect in startup: Click the + icon in the ""Login Items"" tab you previously navigated to Choose ""Applications"" from the left panel and click on SafeConnect Click Add If the above is resolved or working as it should and the issue is still happening, follow the steps below. Solution 5: Ensure the device does not have Malware Run an Anti-Virus scan using a known Anti-Virus Run an Anti-Malware scan (Malwarebytes is an option for this) Ensure no Malware is found Do you see a certificate error or connection error when navigating to the Policy Key Download Page during the time the device is failing policy (Not in open access)? A certificate error is shown: This may indicate that the endpoint does not have the ""Go Daddy Class 2 Certification Authority Root Certificate"" installed. Please ensure you have the latest OS updates applied to your system. You can download and install this certificate from godaddy's website: Godaddy Root Certificate A connection error occurs This may indicate that the endpoint does not have a proper route to the SafeConnect appliance or an alternate network connection issue is occurring. In this case, please submit a ticket to OPSWAT Support with a Policy Key log at level 5, as shown below and please provide OPSWAT Support the error shown when attempting to reach the Policy Key download page, preferably in a screenshot: my.opswat.com To collect a policy key log Navigate to the necessary location based off your OS Windows: ""Program Files(x86)\SafeConnect"" MAC: Applications > Right click SafeConnect > Click ""Show Package Contents"" > Contents/MacOS Policy Key logging is written to LogFile.txt in this directory. If you are requested to enable further debugging (Log Level 5) for the Policy Key by OPSWAT Support Update the config.xml file with the following values: <LoggingLevel>5</LoggingLevel><LoggingLimit>50240</LoggingLimit> Wait for the issue to occur again Wait a few minutes after the issue occurs and save LogFile.txt to upload to support ticket at The Support Portal If you do not see a LogFile.txt in that directory after 5-10 minutes Try re-downloading the Policy Key from your SafeConnect appliance and/or rebooting the machine. Then, you will need to set the logging level again. If this article was unable to solve your problem, please submit a support ticket at Troy Helpdesk with the policy key log attached.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=157333
"Netflix, Amazon-Prime, and Hulu are blocked in Academic and Administrative Areas.  How can I use it for showing documentaries?","Netflix, Amazon-Prime, and Hulu were blocked several years ago on the Academic and Administrative networks due to abuse.  Professors can still request a variance to use Netflix, Amazon-Prime, and/or Hulu to show Documentaries only and must be accompanied with approval from the department dean. Process for Requesting Access to Netflix, Amazon-Prime, or Hulu for Documentaries: Open a Helpdesk Ticket using the button at the bottom of this page with details about your request including date and time it will be shown and the name of documentary. All request MUST be made via a Helpdesk Ticket at a minimal of 48 business hours (Monday - Friday 8am - 5pm daily) prior to the event and be accompanied by either an email or memo from the Dean of the college submitting the request. User needs to be aware of the Permission to Use for each documentary and using a personal account to show to a large crowd.  These can be found at Netflix Terms of Use . For Amazon Prime Video - Amazon Prime Video Terms of Use . For Hulu - Hulu Terms of Use . Also note - Troy University does not obtain institutional accounts with the 3rd party streaming services listed below. Request must be made via a Helpdesk Ticket requiring the following information: 1.  Submit a request to your division Dean asking for approval to stream using one of the above services for a specific date & time via Email. 2.  Once that approval is given via email, you can create a new Helpdesk ticket asking for access to the streaming service, what date and time it is scheduled for, and what computer it will be used at including the computer name or IP address of the presentation/podium computer only ( Needs to be a Wired Ethernet Connection, not wireless ). Uploading the approval email is required when submitting this ticket. For Windows 10 Computers: 1.  Click on the Start button. 2.  In the search box, type Computer. 3.  Right click on This PC within the search results and select Properties. 4.  Under Computer name, domain, and workgroup settings you will find the computer name listed. For Mac Computers: 1.  Click on the Apple symbol in the top left of the screen. 2.  Select ""About This Mac"" 3.  When the information window pops up, select ""More Info"" 4.  In this new About window you will see the NAME line and the name of the computer is to the right of that. Note:  On the View basic information about your computer page, see the Full computer name under the section Computer name, domain, and workgroup settings  Laptops on WiFi will not be allowed at this time. Submit Ticket",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=48453
How to Install Rosetta on the latest Mac computers,"To install Rosetta on a newer Apple Silicon Mac (If you are unsure if yours falls into this category go to this link:  https://support.apple.com/en-us/HT211814)  follow the steps below: 1. Click on Launchpad 2. Locate the ""Terminal"" 3. Open the Terminal and type the command shown in the screenshot below to install Rosetta. Note: To run this command successfully, you'll need to connect to either your phone's hotspot or another free public WiFi network. softwareupdate --install-rosetta This will install Rosetta for Mac and now allow you to install the SafeConnect Policy Key for Mac.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=136693
Are there limitations regarding the types of devices that can be connected to the Troy campus network?,"Yes. Support is provided for connecting your personal computers to the campus network. If other devices are connected, they could impede other student connections to the network and may result in being blocked from network connectivity. Most commonly, Wireless Routers and Internet Connection Sharing can prevent multiple students from connecting properly to the Troy campus network.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=40293
Avast Wi-Fi Inspector Component Removal,"For Windows Users: First you will need to open the Control Panel: Click on the Control Panel App. Now find the Programs and Features (Circled in RED): Click on Programs and Features. You will now see the Applications screen appear: You will want to find Avast Free Antivirus and click on it 1 time and then click on Change: Once the Avast change begins you will see a screen with several components for Avast load: No is the harder part.  The boxes are very hard to see, but there is a green check mark in the box beside Wi-Fi Inspector.  This check mark needs to be unchecked or removed.  By doing this, it will remove the Wi-Fi Inspector component all together from Avast and thus causing you issues later on the Troy University Networks.  See illustration below: Once you have removed the check mark make certain to click Change.  You will be required to Restart once the changes have been made. Below are screenshots of what Avast Protection Tab looks like “Before” removing the check mark and “After” check mark has been removed: Once you have removed the check mark make certain to click Change.  You will be required to Restart once the changes have been made. Below are screenshots of what Avast Protection Tab looks like “Before” removing the check mark and “After” check mark has been removed: Before: After: For MAC Users: 1.  Open Avast 2.  Select menu from the top right. 3.  Select Preferences. 4.  On the top ribbon menu. Select the Wi-Fi Inspector Tab. 5.  Disable Automatic scanning and alerts.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=95973
How to Check if You Have Windows 10 S Mode Enabled,"How to Check if You Have Windows 10 S Mode Enabled: 1.  Open the Windows Start Menu. ... 2.  Then select Settings. ... 3.  Next, click System. 4.  Then scroll down the left sidebar and click About. 5.  Check under Windows specifications to see if you have Windows 10 in S mode enabled.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=136648
How to turn off VPN for Google Fi Service,"Turn the Google Fi VPN on or off Check if your phone is designed for Fi or compatible with Fi . For phones designed for Google Fi: Important: Your phone must use Android 9 or higher. Open the Google Fi app . Scroll to “Phone settings.” Tap Privacy & security . Turn Protect your online activity on or off. In the pop-up, tap Got it OK. When the status bar shows , you're connected. For phones compatible with Google Fi: Open the Google Fi app . Scroll to “Phone settings.” Tap Privacy & security . Turn Protect your online activity on or off. On the dialog that pops up, tap Got it OK . When the status bar shows , you're connected. For iPhone: Important: Your iPhone must use iOS 13 or higher. Open the Google Fi app . Scroll to “Phone settings.” Tap Privacy & security . Turn on or off Protect your online activity . In the pop-up, tap Got it Allow . Enter your device passcode or fingerprint. When the status bar shows , you're connected.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=154809
How to find the MAC address of your Computer,"This article will help you find the MAC address based on the device type Windows 10 & 11 Using Command Prompt Search for Command Prompt by typing ' cmd ' in the Windows search Open Command Prompt and type ipconfig /all For a Wi-Fi MAC address, go to the Wireless LAN adapter Wi-Fi section and find the Physical address ( MAC address) Windows Settings Under Windows Settings go to Network & Internet Select Wi-Fi and click on Hardware Properties The MAC address will be listed as the Physical address macOS Go to System Preferences Choose Network Highlight Wi-Fi Choose Advanced and you will find the Wi-FI MAC address",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=147213
Supported Operating System Versions for Microsoft Windows and/or Mac,"This article will list which operating systems are currently supported on the Troy University Networks: Microsoft Windows: Windows 10 versions 21H2, 22H2 Mac OSx: macOS 13 (Ventura) macOS 12 (Monterey) macOS 11 (Big Sur)",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=152022
Ipad Desktop View Mode,"My Ipad is asking me to install the policy key. At the log in page, you will tap on the red circled shown below. 2.  Choose “Website Settings”. 3.  Turn off “Request Desktop Website” and then click “Done”. 4.  Type in your Trojan Pass username and password.  DO NOT INCLUDE the @troy.edu at the end of your Trojan Pass username.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=98944
Is Twitch Blocked?,"After careful consideration, Twitch is no longer blocked however, we are still blocking the use of non-standard ports of  6667-6669 and 7000 which is used for backdoor access by many IRC like application and therefore a major vulnerability to our users and our network space. “IRC, by default, does not use encryption.  DCC connections (direct connections to other IRC users) might not be encrypted. Some networks expose your external IP address or hostname to others, while others allow you to partially or fully hide it. There has been numerous cases of client-side bugs which can be exploited to cause a crash or run arbitrary code on your machine.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=84504
"I continue to receive the following message: ""Troy University does not allow the use of the Peer to Peer Add-In ""Octoshape"" application that you are running. Please close or remove the Octoshape Add-In application before connecting to the network.","The Octoshape software utilizes a grid streaming technology. With grid streaming technology, parts of the video and audio stream you watch may be delivered to your personal computer system via the personal computer systems of other end-users of the software, and the personal computer system on which you install the Software may also be used to deliver parts of the video and audio stream to other end-users of the Software only while you are viewing the same respective stream. The peer to peer software is not allowed on the Troy University network. To resolve this you can uninstall Octoshape add-in for Adobe Flash Player from your computer by opening Control Panel, select Programs and features, (Add/Remove Program). When you find the program Octoshape add-in for Adobe Flash Player, click it, and then Click Uninstall. Follow the prompts. A progress bar shows you how long it will take to remove Octoshape add-in for Adobe Flash Player.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=40382
Why can I not get my computer online after loading a beta operating system?,"The Troy University Safe*Connect NAC only permits valid ""Final Releases"" of Operating Systems.  This is to avoid issues with problematic operating systems and the bugs and/or vulnerabilities that they may contain.  They Troy University Network can not be used by individuals to test beta or preview operating systems.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=40409
Solution To Policy Key Quarantined Issue,"Solution To Policy Key Quarantined Issue on AD Computers If you’re asked to install the policy key while browsing the Internet, follow the instructions below to fix it: Open the ‘Software Center’ on your computer. Click on ‘Impulse Service Restart’ applet and then click on ‘Install’ This should fix the issue and get your computer back online. After installation is complete, close the software center and verify that the Internet is working. Please update your HelpDesk ticket with the results.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=91445
How to Disable MAC Randomization for Android OS Version 10 and Higher,"How do I disable MAC Randomization in Android OS (Version 10 and higher)? The MAC Randomization of Android OS does not work with some networks. If you wish to disable that feature, follow these directions. By default this MAC Randomizer will be enabled once the device is updated to Android 10. To disable it follow the below steps (for most Android devices) The randomized MAC address option is configured for each wireless connection, so there is no way to configure this globally. Once you connect to a wireless network, here's how to make sure the device is NOT Using random MAC address (instead of the device MAC  address). Open the Settings app. Tap Network & Internet . Tap Wi-Fi . Tap the gear icon associated with the wireless connection to be configured. Tap Advanced . Tap Privacy . Tap Use Device MAC.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=137839
"Why can I not connect to, or use DropBox?  If so, what are the alternatives?",Troy University presently has Dropbox disallowed due to high security concerns. Alternatives to DropBox: (Preferred) Microsoft OneDrive https://login.microsoftonline.com Sugar Sync (offers 2 Gig free) https://www.sugarsync.com/pc-download/free Box  (offers 5GB free storage) https://www.box.com Google Drive https://drive.google.com,https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=40403
Switch Out of Windows 10 or 11 S-Mode without a Microsoft Account,"How to Switch Out of Windows S Mode? Please be advised that you will need to be connected to a Hot-Spot other Public WiFi! Windows 10 S-Mode: If you want to install an app that isn't available in Microsoft Store, you'll need to permanently switch out of S mode. There's no charge to switch out of S mode, but you won't be able to turn it back on.  (You won't be able to get to this while on the University Networks): On your PC running Windows 10 in S mode, open Settings > Update & Security > Activation . Find the Switch to Windows 10 Home or Switch to Windows 10 Pro section, then select the Go to the Store link. Note: Don't select the link under Upgrade your edition of Windows . That's a different process that will keep you in S mode. On the page that appears in Microsoft Store ( Switch out of S mode or a similar page), select the Get button. After you confirm this action, you'll be able to install apps from outside Microsoft Store. Windows 11 S-Mode: If you are a basic user then this mode will work fine for you. But if you are an advanced user then you may face some restrictions in this OS version. Moreover, this S Mode is only available for Windows 11 Home Edition and if you are using a Pro, Education, Enterprise version then you may not need to worry about this. Follow the steps to switch out S Mode in Windows 11:- 1. First, go to Start Menu and then search for Settings & hit Enter . 2. Now navigate to System settings & then go to the Activation tab. 3. After that, you will see the “ Windows 11 Home in S Mode ” section. Now scroll down and then click on the S Mode drop-down menu. 4. Now under that menu, click on the Open Store button. 5. At last, you will be redirected to the ‘ Switch out of S Mode ‘ page, so now click on the Get button. Now wait for a few minutes and then you will get the confirmation that “ You have switched out of S mode and can now install apps from outside the Store. “",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=136690
